Date,Name,Review,Rating
3 days ago,TheTabletguy,, 5 stars 
a week ago,Jason Poirier Lavoie,, 5 stars 
a week ago,Carlos Ceja cazares,"Best care your family pet will get. The whole staff is amazing. Will 100% recommend your quality and friendly service. Thank you for the great care you gave to my bunny ""Nieve"".", 5 stars 
2 weeks ago,mara voltaire,"A very nice, clean place. Employées very polite and cordial.
Very welcoming", 5 stars 
3 weeks ago,Samme Lem,"(Translated by Google) This is the second time I go to this vet..Every time it's really expensive for nothing. I go for my rats that have scabs and itches and a lump on the back of my spleen, $ 300 to tell me that we do not really know …", 1 star 
3 weeks ago,Bianka Rosa,"Thanks so much, receptionist was very pleasant to speak with and helpful!", 5 stars 
3 weeks ago,Isabelle Fournel,"(Translated by Google) She took the time to call me to explain to me calmly

(Original)
Elle a pris le temps de m'appeler pour m'expliquer calmement", 4 stars 
4 weeks ago,KCKL Tweety,"Nice clinc, very clean ,vet seemed to be very nice,and  she took her time with me. Answered all my questions..and the price was much more reasonable, then other places we've been to..they did mixed up our bill,  My hubby didn't even catch …", 5 stars 
a month ago,Ayman Hassan,, 5 stars 
a month ago,Родион Смеловский,, 5 stars 
a month ago,Sitci Kokotci,"(Translated by Google) Staff always welcoming and very human who take the time to explain what is needed and help make the right decisions according to the well-being of the animal, without trying to charge unnecessarily for care like the …", 5 stars 
a month ago,Hope Erin Phillips,"Very happy with the care my little rats have gotten, especially following their surgery! :)", 5 stars 
a month ago,Chantal Tronchon,"(Translated by Google) Mon Amazone has been a client of this clinic for 20 years
He needs a regular beak pruning for a small problem that we have known for several years
He is in good health
Prices increase with each visit
Now they are …", 1 star 
a month ago,Rachel Couture,, 5 stars 
a month ago,Jeanne Barbeau-Coté,, 5 stars 
a month ago,Luc Bataillard,, 5 stars 
a month ago,Cassandra Mailhot,"(Translated by Google) I opened my bunny's case there and the staff are friendly, warm and have a remarkable human conscience! My bunny felt very comfortable in their arms and he was treated very well :) I highly recommend this place ❤️ …", 5 stars 
a month ago,Krysten Howard,, 5 stars 
a month ago,Nicole Van,"They are a very friendly clinic and I trust them with all my small animal needs. I have a cute siamese dumbo cross rat and she was spayed there just last month.

They are covid friendly and ask that one person attend appointments. They do …", 5 stars 
2 months ago,Reid,, 5 stars 
2 months ago,Selene Bance,, 5 stars 
2 months ago,Micha Carrier,, 5 stars 
2 months ago,Arianne Daigle,"(Translated by Google) Warm welcome!

(Original)
Accueille Chaleureuse !", 5 stars 
2 months ago,Melinda Morin,I really like the owner his name is Doctor Brieger hes very caring, 5 stars 
3 months ago,Sebastien Lavigne,"(Translated by Google) Great service. On the other hand, the emergency price for a bird is really expensive.

(Original)
Super service. Par contre, le prix en urgence pour un oiseau est vraiment cher.", 5 stars 
3 months ago,Irene Seppey,(Translated by Google) My clinic par excellence for my rats! All the employees are super attentive and have patience to answer all my questions. The vets are very warm and know how to put the animals at ease. I felt very well supervised. …, 5 stars 
3 months ago,H. M.,, 5 stars 
3 months ago,andres hasbun benitez,, 4 stars 
3 months ago,Thierry Dejoie,"(Translated by Google) Very good

(Original)
Très bien", 5 stars 
3 months ago,Andrée Boutin,, 5 stars 
3 months ago,Nicky Jem,Honestly everyone is super nice here and they helped me a lot with my budgie., 5 stars 
3 months ago,Aryan Lebneh,"dr brieger prescribed for my pet a very expensive med that he gets for and charge super expensive and knows this is sold in pharmacy for cheap , 4 times less and never told me , cares for the profit of his clinic way more than for the pet  , client ....", 1 star 
3 months ago,do_D_do la_D_Dan,, 5 stars 
4 months ago,Gilles Hudicourt,"(Translated by Google) My parakeet was in bad shape and is healed. What more can be said.

(Original)
Ma perruche était mal en point et elle est guérie.  Que dire de plus.", 5 stars 
4 months ago,James Combe,"They are a very friendly, and well trained staff. My experience with them was very satisfying! I highly recommend them to anyone looking for an exotic pet veterinarian.", 5 stars 
4 months ago,Karine Tremblay,"(Translated by Google) A lot of bird knowledge and a sincere opinion on bird ownership.

(Original)
Beaucou de connaissances des oiseaux et une opinion sincère sur la possession d'oiseaux.", 4 stars 
4 months ago,laura filitov,Amazing service! We're very happy !, 5 stars 
4 months ago,Maksym Bystrov,, 5 stars 
4 months ago,plafon77,finally a vet that know how to deal with rats and small animals really great service, 5 stars 
4 months ago,Moriah Whelan-Ellis,, 5 stars 
4 months ago,Arabella Russell,, 4 stars 
4 months ago,marc durand,, 5 stars 
4 months ago,Joseph Sztrikacs,, 5 stars 
5 months ago,Josee Dube,, 4 stars 
5 months ago,John Frechette,, 5 stars 
5 months ago,Robert Berube,Went there with a budgie. Great staff. friendly reception. Doctor was to the point. Would definately recommend, 5 stars 
5 months ago,Tom Zimmer,, 5 stars 
5 months ago,Andres Hasbun,, 4 stars 
5 months ago,Myriam MJ,"Best place to bring your exotic critters. They are super friendly, knowledgeable. I brought my guinea pig to be fixed and she has healed quickly and without any problems. I definitely recommend them 😊", 5 stars 
5 months ago,steph gee,, 5 stars 
5 months ago,Valérie Jacques-Bélair,, 5 stars 
5 months ago,Fraser Place,, 5 stars 
5 months ago,Geno Vex,"I called ahead of time to make an appointment and was told I would have to pay 18$ only for what I wanted to do. I had a good experience until I had to pay, which is when they told me there was a mandatory exam that costs 80$ for new …", 1 star 
5 months ago,Narcissa Macris,Love all the employees.Thank you!, 5 stars 
6 months ago,Ray Yu,Really nice and professional staff. They call to confirm your appointment two days prior and the vet handled my rabbit very professionally. One of their clients tested positive and they made the effort to test all staffs and closed down for two weeks in the self-quarantine time. Highly recommend!, 5 stars 
6 months ago,Stephanie L,Very happy with the service. I have been bringing my pets here for a few years and always received excellent service. The staff are very friendly and sympathetic., 5 stars 
6 months ago,Clément Galamé,, 5 stars 
6 months ago,Andréanne LeBel,, 5 stars 
6 months ago,Xothia Peral,Excellent service! Love the staff :), 5 stars 
6 months ago,Fozzie Bean,"Wonderful, caring staff, and nice facilities. They will keep your pets there for you when you're on vacation as well.", 5 stars 
6 months ago,Ariana Moin,, 5 stars 
6 months ago,Hannah Hackney,They do really care about animals and working with you for a solution that is reasonable for you as a pet owner., 5 stars 
6 months ago,Annie Lauzon,"(Translated by Google) Doctor Brieger is an excellent veterinarian. Very human, gentle, understanding and attentive and he does everything in his power to help your animals! Thank you very much for the excellent service, Triolet thanks you …", 5 stars 
7 months ago,Mohammed Alhassiny,Not good service they dont do anything they charge for nothing i not recomand them at all sty farrrrrrrrr, 1 star 
7 months ago,Nathalie Thomas,"(Translated by Google) My message will surely be different from other goods because I did not use the clinic's services. However, I spoke with the receptionist called Elisa or something similar. I forwarded my message to the lady herself …", 5 stars 
7 months ago,Dominique Patry,"(Translated by Google) I never write reviews on social media, but I have to admit that this clinic deserves one.

Obviously, you always have to plan a good budget when you go to the vet. I have to admit I expected a higher bill for all the …", 5 stars 
7 months ago,Sophie G.,"(Translated by Google) I didn't visit the place, but they helped me on the phone and were very nice

(Original)
Je n'ai pas visité les lieux, mais ils m'ont aidé au téléphone et étaient très gentils", 5 stars 
7 months ago,Arie K,, 4 stars 
7 months ago,amelie audet,, 5 stars 
7 months ago,Estelle Desjarlais,"(Translated by Google) Listening, reassuring. This is all we need when we are worried about our beloved animal

(Original)
A l'écoute, rassurants. C'est tour ce qu'il nous faut quand on s'inquiète pour notre animal qu'on aime", 5 stars 
7 months ago,Alexandre Richelieu,, 5 stars 
7 months ago,Mélissa Fontaine,"(Translated by Google) Very kind. Very professional.

(Original)
Très gentils. Très professionnels.", 5 stars 
7 months ago,Elise Julie,"Great service, Dr Maude Trudeau takes great care of my pet rats. 🐀", 5 stars 
7 months ago,Rohinton Ghandhi,, 5 stars 
7 months ago,Josie P.,"(Translated by Google) I am always anxious at the idea of ​​finding a veterinary clinic for my animals, among other things because I care that they are well treated, but also that they explain to me the information about their state of …", 5 stars 
7 months ago,Sabrina Dutremble,, 5 stars 
8 months ago,Mario Mikulić,, 5 stars 
8 months ago,Rima Sadok,, 5 stars 
8 months ago,Patrick Desjardins,"If you are the proud owner of a mischief of rats, this really is the best veterinary hospital you could hope for. Very conveniently located too, and not a long walk from Vendôme Metro if that is a concern.

The reception staff are some of …", 5 stars 
8 months ago,Moi_PriscillaLin,My hammy had a good experience of the ear mass removal surgery. Everyone is very nice! Thank you to all the staff who took good care of my baby., 5 stars 
8 months ago,Karine Groulx,, 5 stars 
8 months ago,Malissa M,Great service.  Spoke english.  Caring.  Good prices., 5 stars 
8 months ago,Mundane Girl,, 5 stars 
8 months ago,Annie Ezerzer,They always take great care of my guinea pigs!, 5 stars 
8 months ago,D Lalonde,, 5 stars 
8 months ago,Marie-Christine Raymond,, 5 stars 
8 months ago,Pamela Alvarez,, 5 stars 
9 months ago,Mochi_isded,"(Translated by Google) Dr Brieger is the best

(Original)
Dr Brieger est le meilleur", 5 stars 
9 months ago,Francois Des Rochers,"(Translated by Google) Extremely kind and understanding vet. Good approach. recommended

(Original)
Vétérinaire extrêmement gentil et compréhensive. Bonne approche. recommande", 5 stars 
9 months ago,Anouchka Gilbert,"(Translated by Google) Super nice employees!
We are very well served and we feel that the veterinarians know their business well. The costs are also affordable.
I highly recommend for anyone with exotic pets.

(Original)
Employés super …", 5 stars 
9 months ago,mikaleigh williams-paradis,, 5 stars 
9 months ago,Mathieu Dussault,, 5 stars 
9 months ago,ehsan suchak,, 5 stars 
9 months ago,ChrysP,, 5 stars 
9 months ago,James Talarico,, 5 stars 
9 months ago,Sanja Dzeletovic,"I have taken my parrot for regular control and after advises of the vet he finally got weight. They also have very affordable boarding for bird where they take a really good care of your bird.
I have had also an emergency, my parrot started …", 5 stars 
10 months ago,Leïla F.,"(Translated by Google) Thank you for taking care of my little bird🐦.

(Original)
Merci de prendre soin de mon petit oiseau🐦.", 4 stars 
10 months ago,Inti Chauveau,"(Translated by Google) Great welcome, soothing and reassuring place for our little loves. Veterinarians and technicians are professional and friendly. We are very well taken care of and no unwelcome rush. A pleasure too, to have a …", 5 stars 
10 months ago,Med amine AB,Very welcoming staff, 4 stars 
10 months ago,Marianne Vollrath,"(Translated by Google) Very good experience!

(Original)
Très bonne expérience!", 5 stars 
10 months ago,marie-claude tremblay,, 5 stars 
11 months ago,Claire Cournoyer,"(Translated by Google) Hello, I had a very nice experience with this clinic. I brought my little rabbit because he was almost no longer eating, and now he's better! All the staff (doctor, secretaries, technicians ...) are very competent, …", 5 stars 
11 months ago,Audrée-Rose F.L.,"(Translated by Google) A passionate and respectful team ... as small as it is! My rats have received, and will continue to receive excellent care at this location. A big thank you to Dr Henry-Guyot and Dr Brieger.

(Original)
Une équipe …", 5 stars 
11 months ago,Alcina Lopes,Quickly looked at our pet ferret. Very kind and gentle with our baby. Very detailed in all they proposed as care., 5 stars 
a year ago,Marie-Anne Sirois,"(Translated by Google) The best place for your exotic animals !! :)

(Original)
La meilleure place pour vos animaux exotiques!! :)", 5 stars 
a year ago,andre caouette,"(Translated by Google) A big thank you to the whole team. It is always reassuring to be supported by a team of professionals who are courteous and attentive to our questions. Once again thank you

(Original)
Un gros merci a toute l’équipe., …", 5 stars 
a year ago,Jackie Hudspeth,The best vet I have ever been to! My bunny has gone in for routine check-ups and to check out the boarding facility. Both were great experiences all around. They are organized and caring. They are also fair in their prices. High quality …, 5 stars 
a year ago,Ghevart xavier,, 5 stars 
a year ago,Sylvie Livock,, 5 stars 
a year ago,Jenna Jacquier,"Great place! Fast service, everyone is compassionate and understanding to every individual client and their needs, I will definitely keep coming back.", 5 stars 
a year ago,Molilea 13,So amazing before I could get to the vet they helped me with every question I had to keep her from getting worse. They helped me learn how to give my snake needles to get her better. It's been less then a week and she's already getting better and pricing is reasonable., 5 stars 
a year ago,Barry Barryy,great care!, 5 stars 
a year ago,Audrey Pelletier,, 5 stars 
a year ago,Caroline Tabbara,, 5 stars 
a year ago,Julio Lugo,, 5 stars 
a year ago,Emilie,, 5 stars 
a year ago,Josée Chicoine,, 1 star 
a year ago,Brigitte Rivard,"(Translated by Google) The whole team has animal health at heart. The service is truly professional. Nothing is left to chance when taking care of our animal. Go with confidence!

(Original)
Toute l'équipe a à coeur la santé des animaux. …", 5 stars 
a year ago,barfood,, 3 stars 
a year ago,Gloria Arenas,"So grateful with all the stuff and the doctors.  Lolita was your patient for 9 years, Excellent service...  thank you, thank you, thank you.", 5 stars 
a year ago,Marc Nadeau,"(Translated by Google) Excellent service. The doctors and the receptionists are really nice. Their priority is animal welfare and it shows. Do not hesitate to make an appointment.

(Original)
Excellent service. Les docteurs et les …", 5 stars 
a year ago,Robert Savoie,always professional, 5 stars 
a year ago,C'est entreparentheses,, 4 stars 
a year ago,Demiana Abdelmalek,, 3 stars 
a year ago,John Doe Doe,, 5 stars 
a year ago,seif eddine hemissi,, 5 stars 
a year ago,Marie Breton,, 5 stars 
a year ago,Magaly Piché,"(Translated by Google) I love.

(Original)
J'adore.", 5 stars 
a year ago,Annick Landry,, 5 stars 
a year ago,Eva Alexandra Best,These people are honest and helpful and knowledgeable and they truly care. Strongly recommend., 5 stars 
a year ago,Kathleen,"(Translated by Google) They took good care of my little Azure who had an infection. Do not push the tests at exorbitant prices as long as it is not necessary ... very appreciated !!

(Original)
Ils ont bien pris soin de ma petite Azure qui …", 5 stars 
a year ago,Cijey Ruso,Great service and honest, 5 stars 
a year ago,Melissa Taddeo,"They were very thorough and patient, answering all our questions. Would 100% recommend.", 5 stars 
a year ago,Elena Ruojia Wan,, 5 stars 
a year ago,Roussa Alexandrakis,, 5 stars 
a year ago,chantal joron,"(Translated by Google) The veterinarian was really attentive, took the time, respectful and gentle towards the animal. For us it was a difficult moment because our little rabbit was too sick and aged now We have received support. Thank you …", 5 stars 
a year ago,Jemma M,, 5 stars 
a year ago,K K,, 5 stars 
a year ago,Stephan Pleszkewycz,, 5 stars 
a year ago,Edgar Garcia Cano,, 5 stars 
a year ago,Marie Laurence Valois,"(Translated by Google) Excellent service, real experts!

(Original)
Excellent service, de vrais experts!", 5 stars 
a year ago,Benny Perez,, 4 stars 
a year ago,Esme Tardif,, 5 stars 
a year ago,Naomy D.,, 5 stars 
a year ago,Patricia Simon,, 5 stars 
a year ago,Théophile Gorisse,"They are very considerate. We went there a couple of times, two of which were to put down our very old and very sick rats. They were very supportive and understanding of our situation, and made our grief a little brighter with an appreciated and thoughtful letter.

<3 Alphonse <3 Edward", 5 stars 
a year ago,Carol Ann Trachy,Very professional and knowledgeable about rabbits, 5 stars 
a year ago,Gerry P.,"If the veterinarian suggests to hospitalize your pet, please ask if staff is provided during closed hours. Better yet, go take a peak during closed hours and try to see if any staff is present. One would think that a healthcare professional …", 1 star 
a year ago,Manned Tooth,Dr. Trudeau is super professionnal and cares for animals., 5 stars 
a year ago,Anne-Marie Vivier,"(Translated by Google) First time I went there, welcome. I met Dr. Trudeau who took care of my chinchillas, she is so sweet and kind. She knew how to master my more fearful than the one who moves the most. She is very professional I …", 5 stars 
a year ago,Evelyne Boyd,The only place that will accept rabbits for check ups that I know of, 5 stars 
a year ago,Laura E Hernández,, 5 stars 
a year ago,Annie D,, 1 star 
a year ago,Alexandra Salois,"I brought my pet snake a while ago for an annual check up after moving to this new part of Montreal and I am so happy to have found this place. Everyone was polite and ready to help, and you can get an appointment pretty fast! I was really …", 5 stars 
a year ago,CA S,"Amazing staff, fantastic care.", 5 stars 
a year ago,Ztar Black,Great with animals, 5 stars 
a year ago,Sofia Acosta,Amazing and super knowledgeable staff! They saved my bunny when she went into GI statis. They’re so kind and are also always available by telephone and email when I have concerns about my bunny. Highly recommend this vet!, 5 stars 
a year ago,Serge Doc,"(Translated by Google) If you really like your pet, avoid this place. We brought our peruche to cut the nails. After their interventions, a nail started to bleed and the bleeding was stopped with a lot of difficulty. To be honest, we must …", 1 star 
a year ago,Gena Kona-Mancini,, 4 stars 
a year ago,Yichi Zhang,"Very caring staff, I highly recommend Dr. Trudeau and her team. They were very professional and took the time to explain what went wrong. Our bunny had to get rid of a huge bladder stone and they got the job done, even showed us a video of the surgery!", 5 stars 
a year ago,Chantal Morin,, 5 stars 
a year ago,Jennifer Donaldson,"Very friendly & knowledgeable staff, this clinic worked hard to accommodate my pet and me.", 5 stars 
a year ago,Marius Sonnenwirth,Excellent place with very high qualified personnel @) !, 5 stars 
a year ago,Beatrice Ferreira,, 5 stars 
