Date,Name,Review,Rating
6 days ago,Maude R. V.,, 5 stars 
a week ago,amanda faigal,I've been a few times now for my guineapigs and I always feel comforted knowing that they're being taken care of there. Everytime I've left the staff always say good bye to the pig(s) which emphasized to me that they love what they do and …, 5 stars 
4 weeks ago,Sophie A. D.,"(Translated by Google) I would like to thank the whole team who welcomed my unfortunately very sick cat.
We must underline the welcome and the sensitivity of the whole team. My cat was surrounded, the team took care of him, including …", 5 stars 
a month ago,Yvonne Gardner,Great service. Friendly helpful staff., 5 stars 
a month ago,nancy boudrault,"(Translated by Google) Very professional service, courteous and attentive staff, I have confidence in my animal.

(Original)
Service très professionnel, personnel courtois et à l’écoute, je suis en confiance pour mon animal.", 5 stars 
a month ago,J CS,The friendliest staff you'll ever meet who ask all the right questions and have all the right answers. They were amazing with my usually aggressive rabbit and did everything quickly. I can't recommend them enough., 5 stars 
a month ago,Nancy Hutchison,"Easy to book an appointment. Polite, professional, punctual and competent staff.", 5 stars 
a month ago,Samar Eldabaa,I have to say the staff there is really kind but id say otherwise for the prices. There are a lot of hidden prices. I called to inquire about the prices I was told id pay 184$ for the consultation and to give my cat the 3 vaccines. To my …, 2 stars 
a month ago,magali dubeau,great team that cares about your animals. Number 1 in Montreal ;), 5 stars 
a month ago,Kayla Korolus,Great service! They took wonderful care of my pet rats. The staff was very knowledgeable and it was apparent that they really care about their patients., 5 stars 
a month ago,Kalina Tkaczyk,"A really amazing team of veterinarians, technicians and assistant technicians. They are hard-working, determined, as well as dedicated, compassionate and loving to all the animals.", 5 stars 
a month ago,Jordan,, 4 stars 
a month ago,amanda levine,, 4 stars 
a month ago,Wilzz,, 5 stars 
a month ago,Marie-Philippe Mercier,, 5 stars 
a month ago,cynthia watkins,, 5 stars 
a month ago,Vanessa Watkins,, 5 stars 
a month ago,FX Watkins,, 5 stars 
a month ago,Sarah Marie LW,"(Translated by Google) Always attentive to the needs of the animal. The prices are realistic and their services are second to none.

(Original)
Toujours à l'écoute des besoins de l'animal. Les prix sont réalistes et leurs services sont hors pair.", 5 stars 
a month ago,Laurence Bourque,, 5 stars 
a month ago,Qingyang Meng,"(Translated by Google) Super good vet. My cat ate a rope and needed a stomach cut. The operation was very successful and very professional. It will be all right after returning home in half a month. The doctor sisters are very nice, the …", 5 stars 
a month ago,Isabelle Demontigny-Bédard,"(Translated by Google) A competent, professional and dedicated team!

(Original)
Une équipe compétente, professionnelle et dévouée!", 5 stars 
2 months ago,Khushnuma Savai,, 4 stars 
2 months ago,Norhan M,"Took my cat in for the first time there today. Every single staff member I interacted with was kind and friendly. I wish I could remember the doctor's name but she was wonderful, and happily took the time to answer all of my questions (I had quite a few). Thank you!", 5 stars 
2 months ago,Linda Downard,, 5 stars 
2 months ago,Emilio Peña,"Best vet we’ve had so far. Very professional and dedicated. They follow up and have other useful services available, like grooming and pet food store. I strongly recommend it.", 5 stars 
2 months ago,Josee Meyers,Brought my 13 year old boxer in for a huge lump on her side. It was not an easy lump to remove due to its size. The team at this hospital did an excellent job and we had our pup home that same afternoon with no complications. We deeply …, 5 stars 
2 months ago,Chrissie Dask,"BEWARE _ MORALLY REPREHENSIBLE & NOT ETHICAL

I had a scheduled and confirmed EMERGENCY appointment  for my pet rabbit that was in a critical condition... The receptionist called briefly before my appointment to CANCEL it and did not even …", 1 star 
2 months ago,anna sampson,"Lovely customer service - super friendly and patient with my dog. However, the prices are indeed very high. If you are purchasing a prescription I would highly recommend filling it elsewhere (ex. I had a surprise bill for $150 for …", 2 stars 
3 months ago,Kristen Duncan,Amazing customer service. I was very happy with how they treated my fur baby. The staff are knowledgeable and caring. Will be going back., 5 stars 
3 months ago,Catherine LeGrand,Two years ago our 9 year old cat Phizel experienced a severe urinary tract blockage.  My daughter took him to the nearest vet - Passionimo -- though we never had been there before.  Dr. Hénault dropped everything to care for him: she saved his life.  We are very grateful and Phizel is fine today.  An enormous thank you., 5 stars 
3 months ago,Terri-Lee Beaudoin,"I am so pleased on the service I received. They put me at ease, when my cat had her surgery. They explained everything about the procedure. They called me everyday, while my cat was with them for three days. Explained all her meds, how to …", 5 stars 
4 months ago,Yuliya Andreevna,"They got us in the same day with my kitten. Very caring staff, I am happy to have chosen this clinic!", 5 stars 
4 months ago,Céline DesLauriers,My cavapoo is very comfortable here and we've had great services., 5 stars 
4 months ago,Maria Victoria Sosa,, 5 stars 
4 months ago,Thomas Boquet,Perfect service 👌🏼, 5 stars 
4 months ago,maggy takloo,"Excellent service, they give great care.", 5 stars 
4 months ago,Wendy Mallette,"When all other veterinarian would not see my Jasmine last minute with diaherrea problems, this place gave me an appointment within hours!  I'm truly thankful and now they will be our new go to Vet.
Thanks again,
Wendy & Jasmine 🐾", 5 stars 
4 months ago,Alexia Petitclerc,"(Translated by Google) WoW! A team of fire! They really take to heart the well-being of our animals but also of their owners. Their employees are understanding and the vets take the time to talk to us and hide nothing, no tests done for …", 5 stars 
5 months ago,Gerardo Chairez,, 5 stars 
5 months ago,DeiDa Dei,, 5 stars 
6 months ago,Sarah Gheriani,"Fantastic vet, I can't say enough good things, this team is wonderful!! Dr Bisson, Amanda and Ralitsa saved my dog Frank's life. They took him in an emergency and stayed way after hours operating on him. Throughout the surgery they sent me …", 5 stars 
6 months ago,Andy Froncioni,"This is hands-down the very highest quality and most caring vet clinic in Montreal.

The Passionimo staff cared for our dog, Bunny, with the utmost compassion.   We cannot express enough how highly we value their expertise,  advice, and …", 5 stars 
6 months ago,S Tahboub,"Very friendly and professional. They are great with the pets and took us on short notice for an emergency, let's hope the little one improves.", 5 stars 
7 months ago,Mélanie,"(Translated by Google) For the moment because it is wu a simple call to put on claw covers, receptionist warm and understanding and available

(Original)
Pour le moment car ce n est wu un simple appelle pour posé des couvre griffe, réceptionniste chaleureuse et compréhensive et disponible", 5 stars 
7 months ago,Jean-Louis Lacasse,"(Translated by Google) Congratulations Cloé for the work you do, continue this project, that's what you have always aimed for. Grandpa is proud of you.

(Original)
Félicitation Cloé pour le travail que tu fais, poursuit ce projet, c'est  cela que tu as toujours visé. Grand-papa est fier de toi.", 5 stars 
7 months ago,Michele Lacasse,"(Translated by Google) Hello, a quick note to tell you that you have a new assistant technician, Cloé (animal keeper) who has found her way by working for you. She has flourished since being at your hospital because she is allowed to learn …", 5 stars 
7 months ago,Paule Bourque,"(Translated by Google) Excellent service!

(Original)
Excellent service!", 5 stars 
7 months ago,Sarah Kemerer,, 5 stars 
7 months ago,carlee milot,"I am very proud to work with this incredible team. I trust the expertise of the doctors, technicians and assistants. My own fur baby, Penelope, had to come in recently and I was so happy to see the level of care and attention the team gave.", 5 stars 
7 months ago,Naike D,"(Translated by Google) I will NEVER go back to you !!!
You lied to me, make me pay for things by mistake on your part (even try to sell me sedatives for my dog ​​on the plane to learn later that IATA FORBIDDEN them !!! And when I ask for a …", 1 star 
7 months ago,Susan Campbell,Very happy with our experience.  They saw us with our sick kitty right away.  He is on the mend...hopefully!, 4 stars 
8 months ago,Svetlana Planets,, 5 stars 
8 months ago,Andres Navia,, 4 stars 
